Geolocation,Name,Description,Address,Landline,Mobile,Website,Email,Borough,Category,Products repaired,Authorised repairer,Qualifications,Independent review link,Other review link,Positive review %,Warranty offered,Pricing information
"51.5792258,0.1356724",Ill IT Solutions Ltd,Computer and laptop repairs,"1 Tolworth Parade, East Road, Chadwell Heath, Romford, RM6 6YU",020 8599 7771,,http://www.illit.co.uk/,admin@illit.co.uk,Barking and Dagenham,Computers and Home Office,"Desktop, Laptop",No,,"https://www.google.co.uk/maps/place/ILL+IT+Solutions/@51.5792258,0.1334837,17z/data=!4m7!3m6!1s0x47d8a460ca6e1573:0x29361c97273b80a9!8m2!3d51.5792258!4d0.1356724!9m1!1b1",http://www.illit.co.uk/reviews/,100%,"""Manufacturer's guarantee on parts, 3 months to 1 year. 3 month's warranty on labour"" by email.","""Quotation service"" from website"
"51.583626, 0.163757",Link Computer Services,"Laptop, PC, and Netbook repairs, mobile service.","203 Mawney Road, Romford, RM7 8BX",,07971 289547,http://www.linkhelp.co.uk/,linkcomputers@gmail.com,Havering,Computers and Home Office,"Desktop, Laptop, Netbook",No,,"https://www.google.co.uk/maps/place/Link+Services+London/@51.5837643,0.1641595,18z/data=!4m7!3m6!1s0x0:0x45da0fbca90c2342!8m2!3d51.583636!4d0.163784!9m1!1b1",,100%,"""One years warranty on parts"" by phone","""Free, no obligation quote. No fix no fee, no callout charge"" from website"
"51.5805313, 0.0989018",M Maintenance,"Appliance repairs, handyman","11 Spearpoint Gardens, Aldborough , Road North, Ilford, Essex, IG2 7SX",,07958 654271,http://www.m-maintenance.co.uk/,mark@m-maintenance.co.uk,Redbridge,Kitchen and household,"Washing machines, Tumble Dryers, Hobs, Dishwashers, Ovens",No,,https://trustedtraders.which.co.uk/businesses/m-maintenance/,,100%,No data,No data
"51.580200, 0.182340",Mind the Mac Ltd,Repair services for Apple devices,"Unit 135, First Floor, Romford Shopping Hall, 43 Market Place, RM1 3AB",01708 755 855,07486 355999,http://www.mindthemac.co.uk/,repairs@mindthemac.co.uk,Havering,Computers and Home Office,"Desktop (Mac), Laptop (Macbook), Tablet (iPad), Apple iPad",No,Qualified technicians,"https://www.google.co.uk/maps/place/Mind+The+Mac+Ltd./@51.580025,0.1824529,18z/data=!4m7!3m6!1s0x0:0x4bf1a1be64abe7f4!8m2!3d51.58019!4d0.182351!9m1!1b1",,100%,"""2 months on repair, up to 1 year on parts"" by phone","""No fix no fee"" from website"
"51.526576, 0.146223",PC First Aid Ltd,"PC, laptop, Apple desktop and laptop, mobile phone, tablet and satnav repairs","Unit 32A GSR Self-Storage, Chequers Lane, Dagenham RM9 6PS",020 8593 7143,07956 525477,https://www.facebook.com/pc1staid/,tech@pc1staid.co.uk,Barking and Dagenham,Computers and Home Office,Desktop,No,,https://www.facebook.com/pc1staid/reviews?ref=page_internal,,100%,No data,"""£40 fixed price for repairs at premises plus parts"" from website"
"51.603877, 0.160526",PJC Technologies Ltd,Laptop and PC repair service,"106 Lynwoood Drive, RM5 2QT",01708 662779 (not in service),07725 501063,http://www.pjctechnologies.com/,info@pjctechnologies.com,Havering,Computers and Home Office,"Desktop, Laptop",No,,http://www.freeindex.co.uk/profile(pjc-technologies-ltd)_194864.htm,,100%,"""6 months to 1 year parts and labour, depending on the part"" by phone","""Fixed prices for some services from £25"" from website"
"51.5749907, 0.1388512",R J Electrical,"Cooker repair specialst, mobile service","112 Mill Lane, Romford, RM6 6UU",020 8599 2841,07836 677836,https://www.facebook.com/rjelectricalessex/,r_j_electrical@yahoo.co.uk,Barking and Dagenham,Kitchen and household,"Electric cooker, storage heater, electrical repairs (qualified electrician)",No,http://www.checkatrade.com/RJElectrical315992/Checks.aspx,http://www.checkatrade.com/RJElectrical315992/,,100%,"""3-6 months for cooker repairs depending on the manufacturer's warranty"" by phone",No data
"51.586617, 0.199394",Richer Sounds,"Repair service for Hi-Fi, DVD, Audio-Visual products, TV","73 Main Rd, Romford RM2 5EL",0333 900 0041,,http://www.richersounds.com/information/service,No,Havering,Home entertainment,"TV, Hi-Fi, DVD, Audio-Visual products",No,,"https://www.google.co.uk/maps/place/Richer+Sounds,+Romford/@51.5852496,0.1936548,16.79z/data=!4m10!1m2!2m1!1shifi+repair!3m6!1s0x0:0xcacf8da03a8ecc1c!8m2!3d51.5866231!4d0.1993954!9m1!1b1",,100%,"""90 day guarantee on repair"" from websie",See website. Initial charge £40 then quote to complete.  Fixed prices for some repairs plus specialist parts.
"51.5480226,0.097821",S R Domestic Repairs,"Domestic appliance repair, mobile service","267 Longbridge Road, Barking, Essex,IG11 9DJ",07737 235620,,No,No,Redbridge,Kitchen and household,"Washing Machine, Washer Dryer, Fridge, Freezer, electric cooker",No data,City and Guilds,https://www.yell.com/biz/sr-domestic-appliances-repair-barking-5087616/#reviews,,100%,"""3 months warranty"" Yell listing page","""No fix, no charge, no call-out charge"" from website"
"51.531092, 0.044162",Standard Appliances,Domestic appliance repair,"130 Barking Road, London, E6 3BD",020 8472 0622,07956 537374,No,No,Newham,Kitchen and household,"Washing machine, Dishwasher, Fridge, Freezer, Tumble dryer, Cooker, Stove",No data,,https://www.yell.com/biz/standard-appliance-ltd-london-901527178/#reviews,,100%,"""We provide 1 year guarantee"" by phone",No data
"51.5507715, 0.1378307",Techright London,"PC and Laptop repairs, mobile service, free home visits, bring service.","2 Carey Road, Dagenham, Greater London, RM9 5HT",020 8593 2339,,http://techright-london.co.uk/,Contact form,Barking and Dagenham,Computers and Home Office,"Desktop, Laptop",No,,http://www.freeindex.co.uk/profile(techright)_439175.htm,,100%,No data,"""£49.99 fixed charge plus parts, plus specialist services which incur additional charge"" from website"
"51.541907, 0.000796",Tomo Solutions Ltd,"Computer and PC repairs, mobile service","17 St Leonards Close, Grays, RM17 6GT",0800 246 5828,07876 344 433,http://www.tomosolutions.co.uk/about-us/,No,Newham,Computers and Home Office,"Desktop, Laptop",No,,https://www.facebook.com/TomoSolutions/reviews,,100%,"""Everyone should offer warranty"" by phone",See website
"51.570782, 0.116968",WG-IT Computers and Consoles,"Computer, games console and iPhone repairs.  Mobile service.","83 Primrose Ave, Chadwell Heath, Romford RM6 4PS",020 8262 0472,07880 622600,http://www.computersconsoles.co.uk/,info@computerconsoles.com,Redbridge,Computers and Home Office,"Desktop, Laptop, Netbooks, Games Consoles (Xbox, Playstation), iPhones",No,ComptTIA technicians see https://certification.comptia.org/certifications/a,http://www.freeindex.co.uk/profile(wg-it-computer-services)_666606.htm,,100%,"""90 days on repair, up to 1 year on parts depending on manufacturer's warranty"" by phone","""No fix no fee, but diagnostic fee may be charged if repair refused"" from website"
"51.560788, 0.081723",A Ali Appliances,Appliance shop,"335 High Road, IG1 1TE",, 07574 321041,None,No,Redbridge,Kitchen and household,"Washing machine, Fridge, Freezer ",,,None,,No data,No data,No data
"51.569789, 0.125883",ARCO Appliances and Furniture,Appliance shop,"1085-1087 High Road, Chadwell Heath, RM6 4AB",020 3417 0150,,None,No,Redbridge,Kitchen and household,No data,,,None,,No data,No data,No data
"51.550310, 0.198925",Atom 1,"Computer, PC and Phone repairs","23 The Broadway, Hornchurch, RM12 4RW",01708 472 644,,No,No,Havering,Computers and Home Office,"Desktop, Laptop, Phone",,,None,,No data,No data,No data
"51.579925, 0.073048",Audio Vision,Audio-visual equipment repair shop,"691 Cranbrook Rd, Ilford IG2 6SY",020 8550 6220,,None,No,Redbridge,Home entertainment,"TV, Radio, Amplifier",,,None,,No data,No data,No data
"51.6027898,0.2377862",Auto Vac Services,"Domestic appliance servicing, mobile service","6 Penrith Rd, Romford, Essex, RM3 9NS",,07976 871543,No,No,Havering,Kitchen and household,"Washing machine, tumble dryer, dishwasher, electric oven",,,None,,No data,No data,No data
"51.542004, 0.002298",Computer Bits,"Phone, laptop and computer repairs","Unit 51, Market Village, 70-73 Stratford Centre, E15 1XQ",020 8221 1873,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.542096, 0.002352",Connect,Phone repairs,"Unit 43, Market Village, 70-73 Stratford Centre, E15 1XQ",,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.5579899,0.2398752",Dander Appliance Services Ltd,"Repair, sales and service of domestic appliances.","8 St Marys Lane, Upminster, RM14 2QT",01708 228156,,http://danderappliances.co.uk/,danderltd@aol.com,Havering,Kitchen and household,"Washing machine, electric cooker, vacuum cleaner, dishwasher, tumble dryer",,,None,,No data,No data,No data
"51.592507, 0.028257",e-Touch Mobile,Phone shop,"9 Mulberry Way, South Woodford, E8 1EB",020 8518 8384,,None,No,Redbridge,Electronic gadgets,"Phone, Laptop",,,None,,No data,No data,No data
"51.581950, 0.132731",First Stop Computer Repairs,Computer repairs,"34 Hutchinson Court, Padnall road, Romford, RM6 5ET",020 3759 6226,07958 495419,http://www.firststopcomputers.com/,terry@firststopcomputers.com,Barking and Dagenham,Computers and Home Office,"Desktop, Laptop, (Screen, Keyboard, Charger port)",,,None,,No data,No data,"""Free quote""from website"
"51.599648, 0.163204",Gadcet Collier Row,Gadget Exchange. Apple and Samsung phone repairs.  Apple iPad repair,"7-9 Clockhouse Ln, Romford RM5 3PH",01708 767666,,http://www.gadcet.com/221-repair,info@gadcet.com,Havering,Electronic gadgets,"Phone (Apple, Samsung), Tablet (iPad)",No,,None,,No data,"""All repairs carried out by us and our repair centres come with a 4 weeks to 3 months warranty dependant on the repair. This excludes any damage caused by the user. Any repair warranty becomes void if you cannot show us the repair receipt."" from website","""All repairs quoted online are estimated based on the information you provide us. If there are any further problems discovered, your repair price may increase. We will contact you by phone or email for further verification. No Fix No Fee: If your repair could not be carried out or cannot be completed, you will not be charged."" From website"
"51.541877, 0.001080",Gadget Store (Stratford),Gadget exchange,"Unit 35, Market Village, 70-73 Stratford Centre, E15 1XQ",,,http://gadget-buy.co.uk/,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.541652, 0.148135",GS Innovative Tech,Repair booth,"248 Heathway, Dagenham RM10 8QS",020 8984 9043,,No,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.542263, 0.002098",GT Mobile,Phone repairs,"Unit 46, Market Village, 70-73 Stratford Centre, E15 1XQ",,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.551897, 0.046709",Hi-Vision,TV Repair shop,"43 Station Rd, London E12 5BP",020 8478 6628,,No,No,Newham,Home entertainment,"TV, DVD, Video",,,None,,No data,No data,No data
"51.5624269,0.0676759",iFixStore,"Repair specialist: Apple iPhone, Samsung Phone, Apple iPad, Apple iPod walk-in, mail-in, call-out services","175 Cranbrook Road, Ilford, Essex IG1 4TA",020 7998 9338,,http://ifixstore.co.uk/,,Redbridge,Electronic gadgets,"Phone (iPhone, Samsung), Tablet (iPad), Apple iPod",,,None,,No data,"""iFix Store Smartphone Repair (""iFix Store"") warrants all repairs and parts free of defects in materials and workmanship for a period of 90 days from the date of purchase."" From website",See prices and refund and replacement policy on website
"51.541294, 0.084333",Ink Link,Computer repair shop and cartridge refill,"82 Longbridge Rd, Barking IG11 8SF",020 8594 6315,,inklink.co.uk,info@inklink.co.uk,Barking and Dagenham,Computers and Home Office,"Desktop, Laptop",,,None,,No data,No data,"""No fix, no fee, free quotation"" from website"
"51.559335, 0.069968",Jaky Mobile,Mobile phone shop,"21 Cranbrook Road, IG1 4DU",,07404 040840,None,No,Redbridge,Electronic gadgets,Phone,,,None,,No data,No data,No data
"51.556004, 0.248754",Jo Hussein,iPad and iPhone screen repairs,"Based in Upminster, address not given",,07961 876418,No,No,Havering,Electronic gadgets,"Phone (iPhone), Tablet (iPad) (screen repairs)",,,https://www.whodoyou.com/biz/1233163/jo-hussein-upminster-england,,No data,No data,See Facebook link for example prices
"51.531157, 0.073162",LCD Refurb,LCD repair,"9 Muirhead Quay, Freshwharf Estate, Highbridge Road, Barking, IG11 7BW",020 8591 0707,,http://lcdrefurb.com/,info@lcdrefurb.com,Barking and Dagenham,Electronic gadgets,"Phone (iPhone, Samsung) (screen repairs)",,,None,,No data,No data,See website
"51.579684, 0.183589",Liberty Mobiles,Mobile phone accessories and repair,"The Liberty, Laurie Walk, Romford RM1 3RT",No data,,No,No,Havering,Electronic gadgets,Phone,,,None,,No data,No data,No data
"51.579744, 0.183452",Liberty News,Newsagent offering phone repairs,"94 Market Place, Romford, RM1 3ER",01798 741899,,No,No,Havering,Electronic gadgets,Phone,,,None,,No data,No data,No data
"51.552809, 0.054137",MA Electronics,Electronics repair shop,"746A Romford Rd, London E12 6BU",020 8553 3441,,No,No,Newham,Kitchen and household,Electrical goods,,,None,,No data,No data,No data
"51.548160, 0.039708",Marl Tech,Phone shop,"561 Romford Road, E7 8AF",020 8552 2030,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.539228, 0.051316",Mr Mobiles,Phone shop,"194A High St N, E6 2JA",020 8552 0205,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.536653, 0.081096",Mr Technician UK Ltd,Phone shop,"42 Ripple Road, Barking, Essex, United Kingdom, IG11 7PG",020 8591 4724,,No,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.533790, 0.053389",Multimobile,Phone shop,"2 St. John's Road, E6 1NW",020 3729 4281,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.546136, 0.004835",N Khabir (R) IT Solutions,Internet cafe offering computer repair,"15 Leytonstone Rd, London E15 1JA",020 8555 5203,,http://nkitsolutions.co.uk,No,Newham,Computers and Home Office,Desktop,,,None,,No data,No data,No data
"51.536899, 0.034972",Narula Enterprises,Phone shop,"311A Green Street, LONDON, E13 9AR",No,,No,No,Newham,Electronic gadgets,Phone,,,None,,No data,No data,No data
"51.542057, 0.000637",Not known (previously Mystical Headshop),"Phone, laptop and computer repairs","Unit 1, Market Village, 70-73 Stratford Centre, E15 1XQ",,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.576919, 0.067087",Phoneit Systems Ltd,Internet cafe offering computer repair,"567 Cranbrook Rd, Ilford IG2 6JZ",020 8550 3554,,None,No,Redbridge,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.552944, 0.054390",Planet Exchange,TV Repair shop,"752 Romford Rd, London E12 6BU",020 8478 1919,,https://www.facebook.com/PlanetExchange,No,Newham,Home entertainment,"TV, Phone, Laptop, Desktop, Console",,,None,,No data,No data,No data
"51.541939, 0.002378",PS Phone shop,Phone repairs,"Unit 57, Market Village, 70-73 Stratford Centre, E15 1XQ",,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.560923, 0.082382",Quality Apppliances,Appliance shop,"357 High Road, IG1 1TE",,,None,No,Redbridge,Kitchen and household,No data,,,None,,No data,No data,No data
"51.537306, 0.036377",R-Tech Accessories,Phone accessories,"49-51 Plashet Grove, E16 1AD",020 3417 7048,,No,No,Newham,Electronic gadgets,Phone,,,None,,No data,No data,No data
"51.535052,0.110918",Safe Handz domestic,Domestic appliance sales and repairs,"446 Lodge Avenue, Dagenham, Essex RM9 4QS",020 8517 0272,,http://safehandz-domestix.co.uk/,safehandzdomestix@gmail.com,Barking and Dagenham,Kitchen and household,"Washing machine, dryer, fridge, freezer",,,None,,No data,No data,No data
"51.575582, 0.182768",Tech Fumes,Phone repair shop,"104 South St, Romford RM11RX",01708 572501,,techfumes.co.uk,info@techfumes.co.uk,Havering,Electronic gadgets,"Phone (iPhone, Samsung Galaxy) Tablet (iPad, other)",,,None,,No data,No data,No data
"51.579253, 0.179782",Technoheavan,"Mobile, laptop, tablet, console","8 North St, Romford RM1 1BH",01708 752800,,No,No,Havering,Electronic gadgets,"Phone, laptop, tablet, console",,,None,,No data,No data,No data
"51.541960, 0.002337",The Cell City London,Phone and PC repairs,"72 The Broadway, Stratford E15 1NG",,,No,No,Newham,Electronic gadgets,"Phone, Desktop",,,None,,No data,No data,No data
"51.552700, 0.052971",The IT Point,Phone shop,"827 Romford Road, E12 6EA",020 8514 7068,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.562247, 0.123377",The Net Store,"Phone, laptop and computer repairs","701 Green Lane, RM8 1UU.",020 8597 7026,,http://www.thenetstore.co.uk/,No,Barking and Dagenham,Computers and Home Office,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.577213, 0.183554",Topgift,Phone accesories kiosk and screen repairs,"The Mercury Shopping Centre, Mercury Gardens, Romford RM1 3EE",No data,No data,http://top-gift.co.uk/,No,Havering,Electronic gadgets,Phone (screen),,,None,,No data,No data,No data
"51.542927, 0.147679",Trit Ventures,Internet Cafe,"309 Heathway, Dagenham RM9 5AQ",020 8517 4558,,No,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop, Desktop",,,None,,No data,No data,No data
"51.555123, 0.258436",Tusker Technology,Computer repairs,"57 Argyle Gardens, Upminster, RM14 3HH",01708 222192,07948 251761,http://www.tusker.co.uk/,martin@tusker.co.uk,Havering,Computers and Home Office,"Desktop, Laptop",,,None,,No data,No data,"""£25 for investigation and quotation"" from website"
"51.546517, 0.027624",Urban Tech ,Repair shop,"320 Romford Road, E7 8BD",020 8553 3441,,urbantec.co.uk,No,Newham,Electronic gadgets,"Phone (iPhone, Samsung, Sony), Tablet (iPad), Laptop",,,None,,No data,No data,No data
"51.565012, 0.188960",A E G Stellison,Local branch of Euronics appliance chain.,"317 Hornchurch Road, Hornchurch, RM12 4TQ",01268 756276,,http://www.stellisonselectrical.co.uk/your-local-electrical-store/hornchurch.html,romford@stellisonltd.co.uk,Havering,Kitchen and household,No data,,,"https://www.google.co.uk/maps/place/Stellisons/@51.5646108,0.1885175,17.38z/data=!4m16!1m8!2m7!1seuronics!3m5!1seuronics!2s51.5650221,+0.1898717!4m2!1d0.1898717!2d51.5650221!3m6!1s0x0:0x9d152779960abe21!8m2!3d51.5650301!4d0.1889998!9m1!1b1",,Not assessed,No data,No data
"51.541997, 0.000825",A-Tech,Phone repairs,"Unit 23, Market Village, 70-73 Stratford Centre, E15 1XQ",0208 555 5807,,https://www.facebook.com/AtechStratford/,atstock23@gmail.com,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,https://www.facebook.com/AtechStratford/reviews,,Not assessed,No data,No data
"51.565226, 0.199285",Britesa,Domestic appliance repair,"206 Hornchurch Rd, Hornchurch RM11 1QJ",01708 473277,,No,No,Havering,Kitchen and household,"Washing Machine, cooker, stove, dishwasher, tumble drier.",,,https://www.yell.com/biz/britesa-hornchurch-414516/#reviews,,Not assessed,No data,No data
"51.549763, 0.199256",Bunty Kainth,Mobile IT Engineer,Address in Elm Park verified on Streetlife,,07841 645111,No,No,Havering,Computers and Home Office,"Desktop, Laptop",,,https://www.streetlife.com/search/?q=bunty,,Not assessed,No data,No data
"51.5240004,0.095751",City Electronic Services,"TV, DVD, Audio and Microwave repair","Unit 22, River Road Business Park, River Road, Barking IG11 0EA",020 8507 9797,,http://www.cityelectronicservices.co.uk/,info@cityelectronic.co.uk,Barking and Dagenham,Home entertainment,"TV, DVD, Audio and Microwave repair",,,"https://www.google.co.uk/maps/place/City+Electronic+Services+Ltd/@51.5240004,0.095751,19.25z/data=!4m7!3m6!1s0x0:0xffc3fb07c4be86f0!8m2!3d51.5241208!4d0.0958689!9m1!1b1",,Not assessed,No data,No data
"51.560469, 0.111834",Computer Concern,Computer repair service,"45 Alloa Rd, Ilford IG3 9SW",,07930 500979,http://www.computerconcern.co.uk/,enquiry@computerconcern.co.uk,Redbridge,Computers and Home Office,"Desktop, Laptop",,,"https://www.google.co.uk/maps/place/Computer+Concern/@51.5603119,0.1118228,17z/data=!4m7!3m6!1s0x0:0x1801f0b02ab74fa!8m2!3d51.560482!4d0.111855!9m1!1b1",,Not assessed,No data,"""No fix no fee"" from website"
"51.535295, 0.113527",D & C Repairs,Commercial and Domestic appliance repairs in and around Dagenham.  ,"269 Stamford Rd, Dagenham RM9 4EH",01798 545278,07850 167 362,http://www.dandcrepairs.co.uk/,dandcrepairs@ymail.com,Barking and Dagenham,Kitchen and household,"Washing machine,Tumble dryer, Electric cooker, Ovens",,,https://www.yell.com/biz/d-and-c-repairs-dagenham-901375705/#reviews,,Not assessed,No data,No data
"51.541885, 0.001034",Easylink,Phone repairs,"Unit 34, Market Village, 70-73 Stratford Centre, E15 1XQ",020 8534 9988,,No,No,Newham,Electronic gadgets,"Phone, Laptop, Desktop",,,https://www.yell.com/biz/easy-link-london-4243507/,,Not assessed,No data,No data
"51.577377, 0.065132",Electronics Geek,"Mobile phone, computer and laptop repairs","25 Woodford Ave, Ilford IG2 6UF",020 3601 4117,07435 358888,http://www.electronicsgeek.co.uk/,info@electronicsgeek.co.uk,Redbridge,Electronic gadgets,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/Electronics+geek/@51.5328637,-0.1550736,10z/data=!4m10!1m2!2m1!1s+!3m6!1s0x0:0x30be406c26115e9!8m2!3d51.5773896!4d0.0651455!9m1!1b1",,Not assessed,No data,See website
"51.589794, 0.081939",Gadcet Barkingside,Gadget Exchange. Apple and Samsung phone repairs.  Apple iPad repair,"56 High St, Ilford IG6 2DQ",020 8550 1110,,http://www.gadcet.com/221-repair,info@gadcet.com,Redbridge,Electronic gadgets,"Phone (Apple, Samsung), Tablet (iPad)",No,,"https://www.google.co.uk/maps/place/Gadcet+Barkingside/@51.589803,0.0797485,17z/data=!4m7!3m6!1s0x47d8a6b018e7ef75:0x34ea10f45cd440f5!8m2!3d51.5897997!4d0.0819372!9m1!1b1",,Not assessed,"""All repairs carried out by us and our repair centres come with a 4 weeks to 3 months warranty dependant on the repair. This excludes any damage caused by the user. Any repair warranty becomes void if you cannot show us the repair receipt."" from website","""All repairs quoted online are estimated based on the information you provide us. If there are any further problems discovered, your repair price may increase. We will contact you by phone or email for further verification. No Fix No Fee: If your repair could not be carried out or cannot be completed, you will not be charged."" From website"
"51.540863, 0.147847",Gadcet Dagenham,Gadget Exchange. Apple and Samsung phone repairs.  Apple iPad repair,"249 Heathway, Dagenham RM9 5AN",020 8526 6299,,http://www.gadcet.com/221-repair,info@gadcet.com,Barking and Dagenham,Electronic gadgets,"Phone (Apple, Samsung), Tablet (iPad)",No,,"https://www.google.co.uk/maps/place/Gadcet+Dagenham/@51.5702363,-0.0133554,12z/data=!4m10!1m2!2m1!1sgadcet!3m6!1s0x0:0x90ec17193ec0041!8m2!3d51.5408636!4d0.1478434!9m1!1b1",,Not assessed,"""All repairs carried out by us and our repair centres come with a 4 weeks to 3 months warranty dependant on the repair. This excludes any damage caused by the user. Any repair warranty becomes void if you cannot show us the repair receipt."" from website","""All repairs quoted online are estimated based on the information you provide us. If there are any further problems discovered, your repair price may increase. We will contact you by phone or email for further verification. No Fix No Fee: If your repair could not be carried out or cannot be completed, you will not be charged."" From website"
"51.563150, 0.216554",Gadcet Hornchurch,Gadget Exchange. Apple and Samsung phone repairs.  Apple iPad repair,"47 High St, Hornchurch RM11 1TP",01708 454545,,http://www.gadcet.com/221-repair,info@gadcet.com,Havering,Electronic gadgets,"Phone (Apple, Samsung), Tablet (iPad)",No,,"https://www.google.co.uk/maps/place/Gadcet+Hornchurch/@51.5666618,0.1074942,13z/data=!4m10!1m2!2m1!1sgadcet!3m6!1s0x0:0x9bd4c01009e7347e!8m2!3d51.5631589!4d0.2165508!9m1!1b1",,Not assessed,"""All repairs carried out by us and our repair centres come with a 4 weeks to 3 months warranty dependant on the repair. This excludes any damage caused by the user. Any repair warranty becomes void if you cannot show us the repair receipt."" from website","""All repairs quoted online are estimated based on the information you provide us. If there are any further problems discovered, your repair price may increase. We will contact you by phone or email for further verification. No Fix No Fee: If your repair could not be carried out or cannot be completed, you will not be charged."" From website"
"51.541781, 0.000432",Gadcet Stratford,Gadget Exchange. Apple and Samsung phone repairs.  Apple iPad repair,"Unit 78, Stratford Centre, E15 1NG",020 8555 2258,,http://www.gadcet.com/221-repair,info@gadcet.com,Newham,Electronic gadgets,"Phone (Apple, Samsung), Tablet (iPad)",No,,"https://www.google.co.uk/maps/place/Gadcet+Stratford/@51.5417841,0.0004232,15z/data=!4m7!3m6!1s0x0:0x3d844600c5ab9b84!8m2!3d51.5417841!4d0.0004232!9m1!1b1",,Not assessed,"""All repairs carried out by us and our repair centres come with a 4 weeks to 3 months warranty dependant on the repair. This excludes any damage caused by the user. Any repair warranty becomes void if you cannot show us the repair receipt."" from website","""All repairs quoted online are estimated based on the information you provide us. If there are any further problems discovered, your repair price may increase. We will contact you by phone or email for further verification. No Fix No Fee: If your repair could not be carried out or cannot be completed, you will not be charged."" From website"
"51.564327, 0.097105",Gadget 4 Exchange (Fone Fix Ilford),Gadget exchange and phone repair,"10 Cameron Road, IG3 8LA",020 3441 7781, 07930 905251,https://www.facebook.com/fonefix.ilfordbranch/,No,Redbridge,Electronic gadgets,Phone,,,https://www.facebook.com/fonefix.ilfordbranch/reviews,,Not assessed,No data,No data
"51.574058, 0.184105",Gadget Solution,"Computer, laptop and phone sales and repairs","163 South St, Romford RM1 1PL",01708 743222,,http://gadgetssolution.co.uk/,info@gadgetssolution.co.uk,Havering,Computers and Home Office,"Desktop, Laptop",,,"https://www.google.co.uk/maps/place/Gadgets+Solution/@51.5745014,0.1836592,17.08z/data=!4m7!3m6!1s0x0:0x968dcba967f1677e!8m2!3d51.5745027!4d0.1837105!9m1!1b1",,Not assessed,"""90 day warranty of all repaired product and parts"" from website",No data
"51.539454, 0.081241",Gadget Store (Barking),Gadget exchange,"4, Barking Railway Station, Station Parade, Barking IG11 8TU",020 8594 0111,,http://gadget-buy.co.uk/,No,Barking and Dagenham,Electronic gadgets,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/Gadget+Store/@51.5394826,0.0800605,17z/data=!4m7!3m6!1s0x47d8a66db881010d:0xc557364f492729bb!8m2!3d51.5394826!4d0.0813395!9m1!1b1",,Not assessed,No data,No data
"51.592637, 0.026599",Hoffmans Pride,"Office supplies, phone and computer repair","115 George Ln, London E18 1AN",020 8989 5164,,None,No,Redbridge,Computers and Home Office,"Phone, Laptop, Desktop",,,"https://www.google.co.uk/maps/place/Hoffmans+Pride+Ltd/@51.5926263,0.0264536,15z/data=!4m7!3m6!1s0x0:0xae3873e887d62d7b!8m2!3d51.5926338!4d0.0266043!9m1!1b1",,Not assessed,No data,No data
"51.557430, 0.188730",Home PC Doctor (Havering),Mobile computer repairs,"163 Upper Rainham Road, Hornchurch, RM12 4EY",01708 455150,07888 678653,http://www.computerrepairhavering.co.uk/,gary252@ntlworld.com,Havering,Computers and Home Office,"Desktop, Laptop",,,"https://www.google.co.uk/maps/place/Home+PC+Doctor+(Havering)/@51.5574185,0.1887496,15z/data=!4m7!3m6!1s0x0:0x5370ef241a339dea!8m2!3d51.5574185!4d0.1887496!9m1!1b1",,Not assessed,No data,No data
"51.5442522,0.0523637",HP Electronics,"TV and Audio repairs, mobile service","57 Rosebery Avenue, E12 6PY",020 8470 7127,07956 517 176,http://www.hpelectronics.co.uk/,harshad.radia@hotmail.com,Newham,Home entertainment,"TV, DVD, Video, Camcorder, Console, Hi-Fi, Audio",,,"https://www.google.co.uk/maps/place/HP+Electronics/@51.5442522,0.0523637,15z/data=!4m7!3m6!1s0x0:0xe3678505eaee286!8m2!3d51.5442522!4d0.0523637!9m1!1b1",,Not assessed,No data,No data
